price,area,status,nb_bedroom,nb_bathroom,age,location,builder
45.0,900,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
50.4,900,Ready to move,2,2.0,,tambaram west,MC Foundation
48.0,1200,Ready to move,3,3.0,,Urapakkam,MC Foundation
37.72,943,Ready to move,2,2.0,,Urapakkam,MC Foundation
35.24,881,Ready to move,2,2.0,,Urapakkam,MC Foundation
40.6,812,Ready to move,2,2.0,,Rajakilpakkam,MC Foundation
91.2,1900,Ready to move,3,3.0,,Madambakkam,MC Foundation
78.28,1631,Ready to move,3,3.0,,Madambakkam,MC Foundation
71.42,1488,Ready to move,3,3.0,,Madambakkam,MC Foundation
67.15,1399,Ready to move,3,3.0,,Madambakkam,MC Foundation
48.81,1017,Ready to move,2,2.0,,Madambakkam,MC Foundation
47.52,990,Ready to move,2,2.0,,Madambakkam,MC Foundation
65.61,1238,Ready to move,3,3.0,,Madambakkam,MC Foundation
61.85,1167,Ready to move,3,3.0,,Madambakkam,MC Foundation
48.81,921,Ready to move,2,2.0,,Madambakkam,MC Foundation
46.64,880,Ready to move,2,2.0,,Madambakkam,MC Foundation
59.83,1108,Ready to move,3,3.0,,Selaiyur,MC Foundation
58.96,1092,Ready to move,3,3.0,,Selaiyur,MC Foundation
28.35,525,Ready to move,1,1.0,,Selaiyur,MC Foundation
30.0,850,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
26.9,700,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
27.0,700,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
25.8,700,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
26.0,700,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
23.0,600,Ready to move,2,2.0,3.0,Veppampattu,JD Properties
114.0,1342,Under Construction,3,,0.0,Madipakkam,Vishal D
72.33,851,Under Construction,2,,0.0,Madipakkam,Vishal D
126.0,1489,Under Construction,3,,0.0,Madipakkam,Vishal D
83.04,977,Under Construction,2,,0.0,Madipakkam,Vishal D
80.15,943,Under Construction,2,,0.0,Madipakkam,Vishal D
33.63,885,Ready to move,2,,2.0,Kundrathur,mohammed
35.41,932,Ready to move,2,,2.0,Kundrathur,mohammed
33.47,881,Ready to move,2,,2.0,Kundrathur,mohammed
27.17,715,Ready to move,2,,2.0,Kundrathur,mohammed
51.06,690,Ready to move,2,2.0,6.0,Nesapakkam,MC Foundation
132.0,1266,Ready to move,3,3.0,,Jafferkhanpet,MC Foundation
102.0,980,Ready to move,2,2.0,,Jafferkhanpet,MC Foundation
91.2,1200,Ready to move,3,3.0,6.0,Nesapakkam,MC Foundation
55.5,750,Ready to move,2,2.0,6.0,Nesapakkam,MC Foundation
88.1,881,Ready to move,2,2.0,,Arumbakkam,MC Foundation
87.0,870,Ready to move,2,2.0,,Arumbakkam,MC Foundation
85.5,900,Ready to move,2,2.0,,Koyambedu,MC Foundation
81.7,860,Ready to move,2,2.0,,Koyambedu,MC Foundation
39.0,937,Under Construction,2,2.0,,Selaiyur,ARB HOMES
99.0,1560,Ready to move,3,3.0,,Medavakkam,ARB HOMES
330.0,4724,Ready to move,4,,,Sholinganallur,ARB HOMES
46.0,1006,Ready to move,2,2.0,4.0,Moolacheri,ARB HOMES
46.12,1006,Ready to move,2,2.0,4.0,Moolacheri,ARB HOMES
37.0,574,Ready to move,1,1.0,2.0,Gowrivakkam,ARB HOMES
80.0,1527,Ready to move,3,2.0,1.0,Ambattur,ARB HOMES
65.0,1002,Ready to move,2,2.0,2.0,Gowrivakkam,ARB HOMES
80.0,1753,Ready to move,3,2.0,1.0,Medavakkam,ARB HOMES
60.0,1340,Ready to move,2,2.0,1.0,Medavakkam,ARB HOMES
53.0,974,Under Construction,2,2.0,0.0,Perungalathur,ARB HOMES
30.0,612,Under Construction,2,2.0,0.0,Thalambur,ARB HOMES
66.0,1366,Under Construction,3,2.0,0.0,Perungalathur,ARB HOMES
47.0,1073,Under Construction,2,2.0,0.0,Thalambur,ARB HOMES
95.0,1371,Ready to move,3,2.0,2.0,Vengaivasal,ARB HOMES
